course_id,course_name,provider,duration_hours,difficulty,rating,completion_rate,estimated_roi,primary_skill_id
C00001,Synergistic attitude-oriented flexibility in Level,LinkedIn Learning,70,Beginner,3.7,60.5,20.4,SK0030
C00002,Switchable interactive matrix in Policy,Microsoft,68,Intermediate,4.1,23.9,45.5,SK0225
C00003,Organic intangible flexibility in Dinner,Internal,1,Advanced,3.4,75.7,7.3,SK0089
C00004,Versatile multimedia budgetary management in Hair,LinkedIn Learning,79,Beginner,3.0,32.9,37.6,SK0234
C00005,Optional bifurcated forecast in Resource,Udemy,95,Intermediate,4.1,22.4,6.0,SK0168
C00006,Synergistic optimizing matrix in New,Google,89,Advanced,3.9,53.8,12.9,SK0231
C00007,Synchronized fault-tolerant analyzer in Discussion,Google,97,Advanced,4.3,84.9,49.4,SK0126
C00008,Object-based radical approach in Account,Google,52,Advanced,3.3,31.3,21.2,SK0061
C00009,Expanded exuding data-warehouse in Speak,Coursera,35,Advanced,4.7,21.0,41.9,SK0120
C00010,Devolved well-modulated extranet in Figure,Google,69,Beginner,3.3,28.2,21.9,SK0190
C00011,Inverse bottom-line ability in Modern,Internal,5,Intermediate,4.8,47.3,42.8,SK0121
C00012,User-friendly intermediate conglomeration in Carry,Microsoft,17,Beginner,3.9,63.5,48.4,SK0048
C00013,Multi-tiered national strategy in Drug,AWS,53,Intermediate,4.1,34.5,24.6,SK0202
C00014,Profit-focused next generation secured line in Sure,AWS,52,Advanced,4.8,80.1,30.2,SK0059
C00015,Multi-channeled asynchronous infrastructure in Training,LinkedIn Learning,14,Beginner,3.6,76.5,33.3,SK0185
C00016,User-centric 6thgeneration Internet solution in After,Microsoft,29,Advanced,3.4,72.2,47.1,SK0223
C00017,Persevering asynchronous functionalities in Parent,Udemy,8,Intermediate,3.9,56.6,16.6,SK0011
C00018,Optimized object-oriented initiative in Security,Microsoft,98,Advanced,3.5,47.4,32.5,SK0281
C00019,Sharable intangible frame in Building,Coursera,1,Beginner,4.1,48.2,19.6,SK0189
C00020,Open-architected 3rdgeneration Graphic Interface in Congress,LinkedIn Learning,29,Beginner,3.6,57.7,14.8,SK0237
C00021,Secured logistical solution in Wide,LinkedIn Learning,36,Intermediate,4.7,25.8,8.8,SK0034
C00022,Multi-lateral background Internet solution in Three,Coursera,51,Intermediate,4.2,71.2,32.9,SK0135
C00023,Customer-focused dynamic Internet solution in Perform,Microsoft,37,Beginner,3.0,46.4,44.7,SK0062
C00024,Open-architected multi-tasking artificial intelligence in Individual,Google,93,Beginner,4.6,36.9,20.8,SK0227
C00025,Integrated value-added Graphical User Interface in Do,Coursera,69,Beginner,3.7,40.9,29.9,SK0093
C00026,Managed zero-defect concept in Ball,Google,53,Beginner,3.6,33.5,33.9,SK0116
C00027,Profound scalable budgetary management in Nice,Internal,96,Intermediate,3.8,87.6,23.7,SK0133
C00028,Profound content-based time-frame in Happy,Coursera,52,Beginner,4.3,32.7,45.7,SK0293
C00029,Monitored upward-trending project in Teacher,Google,88,Intermediate,3.9,86.2,21.3,SK0193
C00030,Digitized disintermediate benchmark in Child,Microsoft,83,Beginner,4.3,62.9,10.6,SK0030
C00031,Function-based dedicated conglomeration in Play,Google,12,Beginner,3.3,85.1,11.5,SK0298
C00032,Distributed well-modulated task-force in Reality,Coursera,52,Advanced,4.9,55.6,45.1,SK0061
C00033,Compatible context-sensitive throughput in Production,Udemy,1,Advanced,4.5,89.6,49.5,SK0028
C00034,Proactive maximized system engine in Organization,AWS,7,Beginner,3.5,35.9,18.0,SK0077
C00035,Virtual optimal knowledge user in Responsibility,Coursera,17,Intermediate,4.4,61.6,11.5,SK0121
C00036,Re-contextualized secondary productivity in Probably,AWS,98,Beginner,4.2,29.4,26.7,SK0003
C00037,Inverse responsive functionalities in City,Coursera,43,Advanced,3.2,53.5,36.9,SK0037
C00038,Organic asymmetric leverage in Letter,Microsoft,71,Beginner,3.4,62.7,32.6,SK0147
C00039,Self-enabling exuding utilization in Face,Internal,17,Advanced,3.1,65.4,47.8,SK0092
C00040,Reverse-engineered analyzing help-desk in Movement,Internal,59,Beginner,4.6,47.4,41.8,SK0273
C00041,Compatible fault-tolerant Local Area Network in Live,AWS,3,Beginner,4.1,25.7,44.1,SK0087
C00042,Automated analyzing hub in Theory,Microsoft,29,Intermediate,3.6,69.1,29.4,SK0040
C00043,Horizontal asynchronous project in Treat,Google,22,Advanced,3.3,56.6,19.7,SK0178
C00044,Cross-group reciprocal policy in Movement,Microsoft,38,Advanced,4.0,30.3,36.6,SK0285
C00045,Networked maximized paradigm in Once,Microsoft,54,Advanced,4.1,90.2,24.8,SK0042
C00046,User-centric 6thgeneration knowledge user in When,Udemy,93,Intermediate,4.4,91.7,17.9,SK0285
