target_role,department_id,successor_id,readiness_timeframe
Special educational needs teacher,D001,EMP06022,3-5 Years
"Programmer, applications",D003,EMP03126,Ready Now
Translator,D007,EMP06783,1-2 Years
Newspaper journalist,D003,EMP05388,Ready Now
"Therapist, music",D017,EMP05114,1-2 Years
Oceanographer,D001,EMP07182,Ready Now
Corporate treasurer,D013,EMP02506,3-5 Years
Housing manager/officer,D020,EMP09443,3-5 Years
"Engineer, broadcasting (operations)",D019,EMP00691,Ready Now
"Engineer, automotive",D012,EMP02031,Ready Now
"Designer, exhibition/display",D017,EMP04933,3-5 Years
"Surveyor, mining",D017,EMP06851,1-2 Years
"Solicitor, Scotland",D008,EMP00913,3-5 Years
"Engineer, broadcasting (operations)",D016,EMP07031,1-2 Years
Ecologist,D011,EMP06761,Ready Now
Systems developer,D015,EMP00365,3-5 Years
"Surveyor, minerals",D003,EMP02804,1-2 Years
Dramatherapist,D016,EMP08270,3-5 Years
"Social research officer, government",D010,EMP06275,3-5 Years
"Loss adjuster, chartered",D005,EMP07091,1-2 Years
Diagnostic radiographer,D014,EMP00982,3-5 Years
Licensed conveyancer,D011,EMP02758,3-5 Years
Agricultural consultant,D003,EMP02893,Ready Now
Chemical engineer,D002,EMP03634,Ready Now
Herbalist,D020,EMP00330,Ready Now
Risk analyst,D014,EMP01456,Ready Now
Archivist,D007,EMP02611,1-2 Years
Event organiser,D014,EMP01559,Ready Now
Academic librarian,D017,EMP09743,1-2 Years
Land,D014,EMP08611,1-2 Years
Best boy,D009,EMP04540,Ready Now
Geochemist,D004,EMP03491,1-2 Years
Personnel officer,D017,EMP08284,1-2 Years
"Designer, television/film set",D005,EMP03619,Ready Now
Food technologist,D009,EMP01471,Ready Now
Contracting civil engineer,D001,EMP06689,1-2 Years
Mental health nurse,D004,EMP08916,3-5 Years
Biomedical scientist,D009,EMP01988,3-5 Years
Architectural technologist,D018,EMP05309,1-2 Years
Proofreader,D008,EMP05438,1-2 Years
"Engineer, control and instrumentation",D015,EMP06279,1-2 Years
Charity officer,D005,EMP07133,Ready Now
Sports development officer,D007,EMP00763,1-2 Years
Advertising copywriter,D003,EMP00017,3-5 Years
Higher education lecturer,D002,EMP01380,Ready Now
Educational psychologist,D002,EMP06669,1-2 Years
Geographical information systems officer,D019,EMP03238,Ready Now
Exhibition designer,D001,EMP00370,1-2 Years
IT trainer,D005,EMP05039,1-2 Years
Intelligence analyst,D002,EMP00189,3-5 Years
"Lecturer, higher education",D003,EMP09173,3-5 Years
Land/geomatics surveyor,D004,EMP02233,1-2 Years
Corporate investment banker,D019,EMP02357,3-5 Years
Sub,D020,EMP00546,3-5 Years
"Administrator, education",D013,EMP06980,1-2 Years
Economist,D016,EMP06405,3-5 Years
"Librarian, academic",D009,EMP08315,3-5 Years
Solicitor,D014,EMP04455,Ready Now
Health and safety adviser,D007,EMP06766,1-2 Years
Pathologist,D014,EMP03416,3-5 Years
Broadcast presenter,D006,EMP03997,1-2 Years
Information officer,D002,EMP06414,3-5 Years
Architectural technologist,D006,EMP00689,1-2 Years
Call centre manager,D013,EMP09805,Ready Now
Phytotherapist,D005,EMP06611,3-5 Years
Trade union research officer,D005,EMP05699,1-2 Years
Database administrator,D017,EMP08232,Ready Now
Warden/ranger,D017,EMP06746,1-2 Years
"Production designer, theatre/television/film",D006,EMP02881,1-2 Years
