course_id,course_name,provider,primary_skill_id
C00001,Synergistic attitude-oriented flexibility in Level,LinkedIn Learning,SK0030
C00002,Switchable interactive matrix in Policy,Microsoft,SK0225
C00003,Organic intangible flexibility in Dinner,Internal,SK0089
C00004,Versatile multimedia budgetary management in Hair,LinkedIn Learning,SK0234
C00005,Optional bifurcated forecast in Resource,Udemy,SK0168
C00006,Synergistic optimizing matrix in New,Google,SK0231
C00007,Synchronized fault-tolerant analyzer in Discussion,Google,SK0126
C00008,Object-based radical approach in Account,Google,SK0061
C00009,Expanded exuding data-warehouse in Speak,Coursera,SK0120
C00010,Devolved well-modulated extranet in Figure,Google,SK0190
C00011,Inverse bottom-line ability in Modern,Internal,SK0121
C00012,User-friendly intermediate conglomeration in Carry,Microsoft,SK0048
C00013,Multi-tiered national strategy in Drug,AWS,SK0202
C00014,Profit-focused next generation secured line in Sure,AWS,SK0059
C00015,Multi-channeled asynchronous infrastructure in Training,LinkedIn Learning,SK0185
C00016,User-centric 6thgeneration Internet solution in After,Microsoft,SK0223
C00017,Persevering asynchronous functionalities in Parent,Udemy,SK0011
C00018,Optimized object-oriented initiative in Security,Microsoft,SK0281
C00019,Sharable intangible frame in Building,Coursera,SK0189
C00020,Open-architected 3rdgeneration Graphic Interface in Congress,LinkedIn Learning,SK0237
C00021,Secured logistical solution in Wide,LinkedIn Learning,SK0034
C00022,Multi-lateral background Internet solution in Three,Coursera,SK0135
C00023,Customer-focused dynamic Internet solution in Perform,Microsoft,SK0062
C00024,Open-architected multi-tasking artificial intelligence in Individual,Google,SK0227
C00025,Integrated value-added Graphical User Interface in Do,Coursera,SK0093
C00026,Managed zero-defect concept in Ball,Google,SK0116
C00027,Profound scalable budgetary management in Nice,Internal,SK0133
C00028,Profound content-based time-frame in Happy,Coursera,SK0293
C00029,Monitored upward-trending project in Teacher,Google,SK0193
C00030,Digitized disintermediate benchmark in Child,Microsoft,SK0030
C00031,Function-based dedicated conglomeration in Play,Google,SK0298
C00032,Distributed well-modulated task-force in Reality,Coursera,SK0061
C00033,Compatible context-sensitive throughput in Production,Udemy,SK0028
C00034,Proactive maximized system engine in Organization,AWS,SK0077
C00035,Virtual optimal knowledge user in Responsibility,Coursera,SK0121
C00036,Re-contextualized secondary productivity in Probably,AWS,SK0003
C00037,Inverse responsive functionalities in City,Coursera,SK0037
C00038,Organic asymmetric leverage in Letter,Microsoft,SK0147
C00039,Self-enabling exuding utilization in Face,Internal,SK0092
C00040,Reverse-engineered analyzing help-desk in Movement,Internal,SK0273
C00041,Compatible fault-tolerant Local Area Network in Live,AWS,SK0087
C00042,Automated analyzing hub in Theory,Microsoft,SK0040
C00043,Horizontal asynchronous project in Treat,Google,SK0178
C00044,Cross-group reciprocal policy in Movement,Microsoft,SK0285
C00045,Networked maximized paradigm in Once,Microsoft,SK0042
C00046,User-centric 6thgeneration knowledge user in When,Udemy,SK0285
C00047,Re-engineered solution-oriented core in Fund,LinkedIn Learning,SK0066
C00048,Robust methodical middleware in City,Coursera,SK0124
C00049,Centralized local benchmark in Talk,Microsoft,SK0145
C00050,Mandatory transitional artificial intelligence in Mother,Microsoft,SK0120
C00051,Stand-alone context-sensitive analyzer in End,Microsoft,SK0109
C00052,Triple-buffered leadingedge intranet in Need,Internal,SK0092
C00053,Programmable reciprocal complexity in Himself,Microsoft,SK0060
C00054,Multi-layered executive info-mediaries in Issue,Coursera,SK0227
C00055,Vision-oriented global service-desk in Piece,Google,SK0240
C00056,Business-focused responsive project in Good,Google,SK0212
C00057,Cloned full-range attitude in Open,Microsoft,SK0098
C00058,Synergistic human-resource forecast in Entire,Coursera,SK0014
C00059,Up-sized stable portal in Tv,Udemy,SK0218
C00060,Distributed full-range artificial intelligence in Pass,Google,SK0170
C00061,Switchable client-server hardware in Force,LinkedIn Learning,SK0280
C00062,Streamlined tangible protocol in Including,Internal,SK0210
C00063,De-engineered radical strategy in Writer,Coursera,SK0256
C00064,Configurable fault-tolerant open architecture in However,Google,SK0171
C00065,Stand-alone full-range capacity in Religious,Google,SK0073
C00066,Total user-facing software in While,AWS,SK0147
C00067,Progressive background project in Religious,Udemy,SK0106
C00068,Optimized multimedia hierarchy in Affect,LinkedIn Learning,SK0094
C00069,Multi-lateral fault-tolerant contingency in Difficult,LinkedIn Learning,SK0063
C00070,Mandatory zero administration matrix in Dark,LinkedIn Learning,SK0154
C00071,Face-to-face client-driven collaboration in Bank,Coursera,SK0255
C00072,Implemented zero tolerance attitude in Movement,Udemy,SK0035
C00073,Visionary needs-based support in Use,Microsoft,SK0296
C00074,Progressive 5thgeneration protocol in Great,AWS,SK0253
C00075,Visionary regional capacity in Picture,Udemy,SK0157
C00076,Multi-tiered coherent complexity in Course,Udemy,SK0134
C00077,Team-oriented zero administration process improvement in Table,Google,SK0129
C00078,Down-sized uniform intranet in Animal,Udemy,SK0280
C00079,Open-source high-level service-desk in Serve,Coursera,SK0252
C00080,Front-line leadingedge pricing structure in Feel,AWS,SK0135
C00081,Versatile value-added toolset in List,Coursera,SK0011
C00082,Focused national encoding in For,AWS,SK0292
C00083,Phased content-based hub in Resource,AWS,SK0148
C00084,Re-engineered leadingedge Local Area Network in Specific,Google,SK0080
C00085,Horizontal zero-defect implementation in Morning,Coursera,SK0191
C00086,Progressive intangible complexity in Technology,AWS,SK0030
C00087,Exclusive real-time challenge in Turn,Udemy,SK0229
C00088,Function-based actuating project in Medical,Coursera,SK0084
C00089,Multi-layered neutral benchmark in Seek,AWS,SK0150
C00090,Programmable bottom-line forecast in Because,LinkedIn Learning,SK0189
C00091,Virtual cohesive flexibility in Listen,Coursera,SK0021
C00092,Profound client-server Internet solution in Benefit,Google,SK0037
C00093,Face-to-face local hardware in Wonder,Internal,SK0246
C00094,Assimilated intangible application in Individual,Coursera,SK0283
C00095,Profit-focused holistic encoding in Imagine,Coursera,SK0102
C00096,Configurable holistic definition in Ahead,Coursera,SK0294
C00097,Intuitive bandwidth-monitored structure in Rate,AWS,SK0232
C00098,Managed client-server challenge in American,Coursera,SK0288
C00099,Horizontal methodical standardization in Theory,Internal,SK0245
C00100,Devolved well-modulated strategy in Manager,Microsoft,SK0177
C00101,Organized reciprocal ability in Western,Coursera,SK0213
C00102,Configurable 3rdgeneration extranet in Dinner,LinkedIn Learning,SK0102
C00103,Distributed neutral superstructure in Politics,Internal,SK0286
C00104,Progressive interactive budgetary management in Stand,Microsoft,SK0022
C00105,Horizontal disintermediate framework in Campaign,AWS,SK0019
C00106,Business-focused disintermediate instruction set in Purpose,Coursera,SK0287
C00107,Secured logistical architecture in Bring,Microsoft,SK0276
C00108,Proactive radical monitoring in Admit,LinkedIn Learning,SK0147
C00109,Self-enabling multimedia orchestration in Effort,Internal,SK0040
C00110,Universal client-server frame in Laugh,Internal,SK0167
C00111,Adaptive reciprocal help-desk in Effect,AWS,SK0091
C00112,Re-engineered intangible contingency in Red,AWS,SK0072
C00113,Synchronized attitude-oriented moderator in Herself,AWS,SK0283
C00114,Cloned multi-tasking moratorium in Movement,Microsoft,SK0140
C00115,Profit-focused neutral adapter in In,Coursera,SK0239
C00116,Phased 6thgeneration productivity in Impact,Udemy,SK0078
C00117,Multi-layered eco-centric synergy in Admit,Internal,SK0199
C00118,Multi-channeled zero tolerance architecture in Hair,Udemy,SK0017
C00119,Front-line upward-trending protocol in Production,Google,SK0218
C00120,Customer-focused zero administration paradigm in Simple,Internal,SK0229
C00121,Versatile full-range challenge in Another,AWS,SK0138
C00122,Multi-channeled needs-based Graphical User Interface in Teach,Coursera,SK0147
C00123,Stand-alone context-sensitive time-frame in Reveal,Coursera,SK0210
C00124,Persistent tangible matrices in Program,Internal,SK0158
C00125,Enterprise-wide client-driven architecture in Sense,Microsoft,SK0153
